Lucy Sullivan Is Getting Married,Marian Keyes,Fiction,2002
The Terminal Man,Michael Crichton,Fiction,2002
The Art of the Novel,Milan Kundera,Literary Criticism,2003
The Bromeliad Trilogy,Terry Pratchett,Juvenile Fiction,2003
"Merry Christmas, Amelia Bedelia",Peggy Parish,Juvenile Fiction,2002
Identity,Milan Kundera,Fiction,1998
The thief of always,Clive Barker,Fiction,1992
The Illustrated Alchemist,Paulo Coelho;Alan R. Clarke;Moebius,Fiction,1998
Mars and Venus Book of Days,John Gray,Family & Relationships,1998
The Last of the Really Great Whangdoodles,Julie Andrews Edwards,Juvenile Fiction,1996
Today I Feel Silly & Other Moods That Make My Day,Jamie Lee Curtis,Juvenile Fiction,1998
The Missing Piece Meets the Big O,Shel Silverstein,Juvenile Fiction,1981
"Lafcadio, the Lion Who Shot Back",Shel Silverstein,Juvenile Fiction,1963
The Secret Garden Cookbook,Amy Cotler,Juvenile Nonfiction,1999
Laura's Album,William Anderson,Juvenile Nonfiction,1998
Quivers,Robin Quivers,African Americans in radio broadcasting,1995
Moonspinners,Mary Stewart,Fiction,2003
Small Wonder,Barbara Kingsolver,Literary Collections,2003
Worlds Enough & Time,Dan Simmons,Fiction,2002
The Cheese Monkeys,Chip Kidd,Fiction,2002
Travels,Michael Crichton,Biography & Autobiography,2002
Caesar,Colleen McCullough,Fiction,2003
The Forever War,Joe Haldeman,Fiction,2003
Amelia Bedelia Goes Camping,Peggy Parish,Juvenile Fiction,2003
The Secret Sister,Elizabeth Lowell,Fiction,2005
Amelia Bedelia Helps Out,Peggy Parish,Juvenile Fiction,2005
Whirlpool,Elizabeth Lowell,Fiction,2006
"Teach Us, Amelia Bedelia",Peggy Parish,Juvenile Fiction,2004
Cryptonomicon,Neal Stephenson,Fiction,2002
Falling Up,Shel Silverstein,Juvenile Nonfiction,2002
Anansi Boys,Neil Gaiman,Fiction,2006
Fragile Things,Neil Gaiman,Fiction,2006
What Went Wrong?,Bernard Lewis,History,2003
Letters from the Earth,Mark Twain,Literary Criticism,2004
Savannah Blues,Mary Kay Andrews,Fiction,2003
The Whipping Boy,Sid Fleischman,Juvenile Fiction,2003
The Innovator's Dilemma,Clayton M. Christensen,Business & Economics,2003
A Nose for Murder,Lee Charles Kelley,Fiction,2003
Happiness,Will Ferguson,Fiction,2003
Size 12 Is Not Fat,Meg Cabot,Fiction,2006
Warrior of the Light,Paulo Coelho,Fiction,2004
The Devil and Miss Prym,Paulo Coelho,Fiction,2006
The Big Bing,Stanley Bing,Business & Economics,2006
One Hundred Years of Solitude,Gabriel Garcia Marquez,Fiction,2003
Walt Whitman,Justin Kaplan,Biography & Autobiography,2003
How to Make Love Like a Porn Star,Jenna Jameson;Neil Strauss,Biography & Autobiography,2004
The Outsider,Richard Wright,Fiction,1953
1421,Gavin Menzies,History,2004
The Andromeda Strain,Michael Crichton,Fiction,2003
Congo,Michael Crichton,Fiction,2003
Johnny and the Dead,Terry Pratchett,Juvenile Fiction,2006
Amelia Bedelia 40th Anniversary Collection,Peggy Parish,Juvenile Fiction,2003
The Girls of Lighthouse Lane #3,Thomas Kinkade;Erika Tamar,Juvenile Fiction,2005
The Bradbury Chronicles,Sam Weller,Biography & Autobiography,2006
Three Rotten Eggs,Gregory Maguire,Juvenile Fiction,2005
The Wicked Day,Mary Stewart,Fiction,2003
The Game,Neil Strauss,Biography & Autobiography,2005
"The Lion, the Witch and the Wardrobe (picture book edition)",C. S. Lewis,Juvenile Fiction,2004
Gold,Isaac Asimov,Fiction,2003
The Kindness of Strangers,Katrina Kittle,Fiction,2007
Built to Last,Jim Collins;Jerry I. Porras,Business & Economics,2004
Fluke,Christopher Moore,Fiction,2004
Lord of Light,Roger Zelazny,Fiction,2004
The Perennial Philosophy,Aldous Huxley,Philosophy,2004
A Crack in the Edge of the World,Simon Winchester,History,2006
Dead Witch Walking,Kim Harrison,Fiction,2004
"The Good, the Bad, and the Undead",Kim Harrison,Fiction,2005
"Men Are from Mars, Women Are from Venus",John Gray,Family & Relationships,2004
Sabriel (adult),Garth Nix,Fiction,2004
Slouching Toward Nirvana,Charles Bukowski,Poetry,2006
Bad Childhood---Good Life,Laura Schlessinger,Self-Help,2006
Cat Cross Their Graves,Shirley Rousseau Murphy,Fiction,2005
Cat Breaking Free,Shirley Rousseau Murphy,Fiction,2006
Slider,Patrick Robinson,Sports & Recreation,2004
The Black Dahlia Files,Don Wolfe,True Crime,2006
Metro Girl,Janet Evanovich,Fiction,2005
Motor Mouth,Janet Evanovich,Fiction,2006
Mystic River,Dennis Lehane,Fiction,2003
Great Short Works of Herman Melville,Herman Melville,Fiction,2004
The Day I Swapped My Dad for Two Goldfish,Neil Gaiman,Juvenile Fiction,2006
Eleven Minutes,Paulo Coelho,Fiction,2005
Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,Psychology,2006
Ulysses S. Grant,Michael Korda,Biography & Autobiography,2004
A Dirty Job,Christopher Moore,Fiction,2006
Quicksilver,Neal Stephenson,Fiction,2004
Every Book Its Reader,Nicholas A. Basbanes,Literary Criticism,2006
Flirting With Danger,Suzanne Enoch,Fiction,2005
Lost Horizon,James Hilton,Fiction,2004
The Doors of Perception and Heaven and Hell,Aldous Huxley,Philosophy,2004
Thanksgiving,Janet Evanovich,Fiction,2006
Love Overboard,Janet Evanovich,Fiction,2005
Back to the Bedroom,Janet Evanovich,Fiction,2005
The Rocky Road to Romance,Janet Evanovich,Fiction,2004
Thomas Jefferson,Christopher Hitchens,Biography & Autobiography,2005
Muhammad,Karen Armstrong,Biography & Autobiography,2006
Meeting Jesus Again for the First Time,Marcus J. Borg,Religion,1995
Reading the Bible Again for the First Time,Marcus J. Borg,Religion,2002
Shadow of the Almighty,Elisabeth Elliot,Religion,1989
The Dance of the Dissident Daughter,Sue Monk Kidd,Religion,2002
C.S. Lewis,C. S. Lewis,Religion,1996
The Screwtape Letters,C. S. Lewis,Religion,2001
Mere Christianity,C. S. Lewis,Religion,2001
Learning to Love,Thomas Merton,Religion,1998
The Mediator #4: Darkest Hour,Meg Cabot,Juvenile Fiction,2004
Cash,Johnny Cash,Biography & Autobiography,2003
"The Collected Letters of C.S. Lewis, Volume 1",C. S. Lewis,Biography & Autobiography,2004
Touching the Void,Joe Simpson,Sports & Recreation,2004
Anybody Out There?,Marian Keyes,Fiction,2006
My Little Pony: Hide-and-Seek,Jennifer Frantz,Juvenile Fiction,2004
The Confusion,Neal Stephenson,Fiction,2005
Bridge to Terabithia (rack),Katherine Paterson,Juvenile Fiction,2004
Practical Demonkeeping,Christopher Moore,Fiction,2004
Island of the Sequined Love Nun,Christopher Moore,Fiction,2004
The Lust Lizard of Melancholy Cove,Christopher Moore,Fiction,2004
Weetzie Bat,Francesca Lia Block,Juvenile Fiction,2004
Behind the Curtain,Peter Abrahams,Juvenile Fiction,2006
"Catherine, Called Birdy (Summer Reading Edition)",Karen Cushman,Juvenile Fiction,2004
Wicked Musical Tie-in Edition,Gregory Maguire,Fiction,2004
Son of a Witch,Gregory Maguire,Fiction,2006
This Rough Magic,Mary Stewart,Fiction,2004
Airs Above the Ground,Mary Stewart,Fiction,2004
The Mediator #5: Haunted,Meg Cabot,Juvenile Fiction,2004
Beauty,Robin McKinley,Juvenile Fiction,2005
Mating in Captivity,Esther Perel,Psychology,2006
Forgotten New York,Kevin Walsh,Travel,2006
The Dead Beat,Marilyn Johnson,Social Science,2007
Charms for the Easy Life,Kaye Gibbons,Fiction,2005
The Reading Group,Elizabeth Noble,Fiction,2005
A Couple of April Fools,Gregory Maguire,Juvenile Fiction,2005
What Christians Believe,C. S. Lewis,Religion,2005
Psyche in a Dress,Francesca Lia Block,Juvenile Fiction,2006
YOU: The Owner's Manual,Michael F Roizen;Mehmet C Oz,Health & Fitness,2005
The Chronicles of Narnia Movie Tie-in Edition (adult),C. S. Lewis,Fiction,2005
"The Lion, the Witch and the Wardrobe Movie Tie-in Edition (rack)",C. S. Lewis,Juvenile Fiction,2005
"The Nightmare Room, Books 1-2-3: The Nightmare Begins!",R.L. Stine,Juvenile Fiction,2005
A Quick Bite,Lynsay Sands,Fiction,2005
Goodnight Moon 60th Anniversary Edition,Margaret Wise Brown,Juvenile Fiction,2005
Brave New World and Brave New World Revisited,Aldous Huxley,Fiction,2005
The Final Solution,Michael Chabon,Fiction,2005
The Cat's Pajamas,Ray Bradbury,Fiction,2005
Holy Skirts,Rene Steinke,Fiction,2005
Time For Kids: Butterflies!,Editors of TIME For Kids,Juvenile Nonfiction,2006
A False Mirror,Charles Todd,Fiction,2007
Cracks in My Foundation,Marian Keyes,Fiction,2005
A Fistful of Charms,Kim Harrison,Fiction,2006
For a Few Demons More,Kim Harrison,Fiction,2007
Mysteries of Pittsburgh,Michael Chabon,Fiction,2005
Everything Is Illuminated tie-in,Jonathan Safran Foer,Fiction,2005
Flight of the Nighthawks,Raymond E. Feist,Fiction,2006
Into a Dark Realm,Raymond E. Feist,Fiction,2007
The 3-Hour Diet (TM) On the Go (Collins Gem),Jorge Cruise,Health & Fitness,2005
The Best American Crime Writing 2006,Mark Bowden;Otto Penzler;Thomas H. Cook,True Crime,2006
Last of the Wilds,Trudi Canavan,Fiction,2006
Voice of the Gods,Trudi Canavan,Fiction,2007
Missing Mom,Joyce Carol Oates,Fiction,2006
"The Collected Letters of C.S. Lewis, Volume 3",C. S. Lewis,Biography & Autobiography,2004
Touch Not the Cat,Mary Stewart,Fiction,2005
King of the Vagabonds,Neal Stephenson,Fiction,2006
Odalisque,Neal Stephenson,Fiction,2006
Black Boy,Richard Wright,Biography & Autobiography,2005
The Sheltering Sky,Paul Bowles,Fiction,2005
Rat Bastards,John Shea,Biography & Autobiography,2006
The Last Days of Henry VIII,Robert Hutchinson,Biography & Autobiography,2005
The Thorn Birds,Colleen McCullough,Fiction,2005
Krakatoa,Simon Winchester,History,2005
The Professor and the Madman,Simon Winchester,Biography & Autobiography,2005
Hit Parade,Lawrence Block,Fiction,2006
The Curtain,Milan Kundera,Literary Collections,2006
"A Hard Day's Write, 3e",Steve Turner,Music,2005
"The Lion, the Witch and the Wardrobe Read-Aloud Edition",C. S. Lewis;Pauline Baynes,Juvenile Fiction,2005
"Mambo Kings Play Songs of Love, The Tie-in",Oscar Hijuelos,Fiction,2005
Sex with the Queen,Eleanor Herman,History,2006
Brave New World,Aldous Huxley,Fiction,2006
Queen of Babble,Meg Cabot,Fiction,2006
"Animal, Vegetable, Miracle",Barbara Kingsolver;Camille Kingsolver;Steven L. Hopp,Biography & Autobiography,2007
Good Omens,Neil Gaiman;Terry Pratchett,Fiction,2006
Dates From Hell,Kim Harrison;Lynsay Sands;Kelley Armstrong;Lori Handeland,Fiction,2006
Continental Drift,Russell Banks,Fiction,2007
The Burglar Who Thought He Was Bogart,Lawrence Block,Fiction,2006
Next,Michael Crichton,Fiction,2006
How to Be Popular,Meg Cabot,Juvenile Fiction,2006
The Annotated Charlotte's Web,E. B. White,Juvenile Nonfiction,2006
Charlotte's Web: Wilbur Finds a Friend,Jennifer Frantz,Juvenile Fiction,2006
The Autumn of the Patriarch,Gabriel Garcia Marquez,Fiction,2006
How to Make Money Like a Porn Star,Neil Strauss;Bernard Chang,Comics & Graphic Novels,2006
Little House in the Big Woods,Laura Ingalls Wilder,Juvenile Fiction,2007
Farmer Boy,Laura Ingalls Wilder,Juvenile Fiction,2006
The Long Winter,Laura Ingalls Wilder,Juvenile Fiction,2007
Little Town on the Prairie,Laura Ingalls Wilder,Juvenile Fiction,2007
The First Four Years,Laura Ingalls Wilder,Juvenile Fiction,2007
The Alchemist - Gift Edition,Paulo Coelho,Fiction,2006
Pretty Things,Liz Goldwyn,Biography & Autobiography,2006
Eaters of the Dead,Michael Crichton,Fiction,2006
Genome,Matt Ridley,Science,2006
The Zero,Jess Walter,Fiction,2006
Kitchen Confidential Updated Ed,Anthony Bourdain,Biography & Autobiography,2007
DREAM & THE UNDERWOR,James Hillman,Psychology,1979
The Crying of Lot 49,Thomas Pynchon,Fiction,1966
An American Childhood,Annie Dillard,Biography & Autobiography,1988
Teaching a Stone to Talk,Annie Dillard,Literary Criticism,1988
Holy the Firm,Annie Dillard,Literary Criticism,1988
Think on These Things,Jiddu Krishnamurti,Religion,1989
The Dance of Intimacy,Harriet Lerner,Psychology,1990
Tell My Horse,Zora Neale Hurston,Fiction,1990
Jonah's Gourd Vine,Zora Neale Hurston,Fiction,1990
The Chaneysville Incident,David Bradley,History,1990
The Writing Life,Annie Dillard,Literary Criticism,1990
The Lost Continent,Bill Bryson,Travel,1990
Three by Annie Dillard,Annie Dillard,Fiction,1990
Declarations of Independence,Howard Zinn,Political science,1991
The Complete Stories,Zora Neale Hurston,Fiction,1996
"Legends, Lies & Cherished Myths of World History",Richard Shenkman,History,1994
The Infinite Plan,Isabel Allende,Fiction,1994
Soul Mates,Thomas Moore,Psychology,1994
"Cathedral, Forge and Waterwheel",Joseph Gies,History,1995
The Throne of the Third Heaven of the Nations Millennium General Assembly,Denis Johnson,Poetry,1996
Success Stories,Russell Banks,Fiction,1996
Testaments Betrayed,Milan Kundera,Literary Collections,1996
Mr. Ives' Christmas,Oscar Hijuelos,Fiction,1996
Slowness,Milan Kundera,Fiction,1997
As Nature Made Him,John Colapinto,Medical,2001
The Active Side of Infinity,Carlos Castaneda,"Body, Mind & Spirit",1999
Brave New World,Aldous Huxley,Fiction,1998
You Can't Go Home Again,Thomas Wolfe,Fiction,1998
The Fifth Mountain,Paulo Coelho,Fiction,1999
V.,Thomas Pynchon,Fiction,1999
Identity,Milan Kundera,Fiction,1999
The Poisonwood Bible,Barbara Kingsolver,Fiction,1999
Cloudsplitter,Russell Banks,Fiction,1999
"Plato, Not Prozac!",Lou Marinoff,Philosophy,2000
The Crying of Lot 49,Thomas Pynchon,Fiction,1999
The Map That Changed the World,Simon Winchester;Soun Vannithone,Biography & Autobiography,2002
The Odyssey of Homer,Homer,Fiction,1999
Collected Novellas,Gabriel Garcia Marquez,Fiction,1999
Collected Stories,Gabriel Garcia Marquez,Fiction,1999
A Mulligan for Bobby Jobe,Robert Cullen,Fiction,2002
In the Footsteps of Mr. Kurtz,Michela Wrong,History,2002
Every Tongue Got to Confess,Zora Neale Hurston,Literary Criticism,2002
Kitchen Confidential,Anthony Bourdain,Biography & Autobiography,2000
One Matchless Time,Jay Parini,Biography & Autobiography,2005
The Girl in the Glass,Jeffrey Ford,Fiction,2005
The Best American Science Writing 2002,Matt Ridley;Alan Lightman,Science,2002
Wittgenstein's Poker,David Edmonds;John Eidinow,Philosophy,2002
Smart Discipline(R),Larry Koenig,Family & Relationships,2004
The Schopenhauer Cure,Irvin Yalom,Fiction,2006
African Nights,Kuki Gallmann,Biography & Autobiography,2000
The Autobiography of Mark Twain,Charles Neider,Biography & Autobiography,2000
Joy in the Morning,Betty Smith,Fiction,2000
Beauty,John O'Donohue,"Body, Mind & Spirit",2005
The Darling,Russell Banks,Fiction,2005
The Making of a Philosopher,Colin McGinn,Philosophy,2003
The Language Instinct,Steven Pinker,Language Arts & Disciplines,2000
Prodigal Summer,Barbara Kingsolver,Fiction,2001
Tales of the City,Armistead Maupin,Fiction,1989
Fear of Falling,Barbara Ehrenreich,Social Science,1989
The Hidden Hand,Carroll John Daly,Fiction,1992
Europe,Norman Davies,History,1998
Savage Inequalities,Jonathan Kozol,Education,1992
Gold Bug Variations,Richard Powers,Fiction,1992
Three Farmers on Their Way to a Dance,Richard Powers,Fiction,1992
The Fourteen Sisters of Emilio Montez O'Brien,Oscar Hijuelos,Fiction,1996
Fiskadoro,Denis Johnson,Fiction,1995
The Stars at Noon,Denis Johnson,Fiction,1995
Operation Wandering Soul,Richard Powers,Fiction,1994
Reasons to Live,Amy Hempel,Fiction,1995
Prisoner's Dilemma,Richard Powers,Fiction,1996
The God of Small Things,Arundhati Roy,Fiction,1998
Courtesans and Fishcakes,James Davidson,History,1999
Girlfriend in a Coma,Douglas Coupland,Fiction,1999
The Long Hard Road Out of Hell,Marilyn Manson;Neil Strauss,Biography & Autobiography,1999
Confessions of an Ugly Stepsister,Gregory Maguire,Fiction,2000
The Dirt,Tommy Lee;Vince Neil;Nikki Sixx;Mick Mars,Biography & Autobiography,2002
Life Is Elsewhere,Milan Kundera;Aaron Asher,Fiction,2000
Cat Laughing Last,Shirley Rousseau Murphy,Fiction,2002
The Crow: The Lazarus Heart,Poppy Z. Brite,Fiction,1999
Well of Darkness,Margaret Weis;Tracy Hickman,Fiction,2001
The Light Fantastic,Terry Pratchett,Fiction,2000
U.S.S. Seawolf,Patrick Robinson,Fiction,2001
Realms of Dragons,Margaret Weis;Denise Little;Tracy Hickman,Fiction,1999
The Player of Games,Iain Banks,Fiction,1997
My Soul to Keep,Tananarive Due,Fiction,1998
Peril's Gate,Janny Wurts,Fiction,2002
Fugitive Prince,Janny Wurts,Fiction,1998
Love in Vein,Poppy Z. Brite,Fiction,1995
Cat on the Edge,Shirley Rousseau Murphy,Fiction,1996
Cat in the Dark,Shirley Rousseau Murphy,Fiction,1999
Treasure Box,Orson Scott Card,Fiction,1997
Homebody,Orson Scott Card,Fiction,1999
Imajica II,Clive Barker,Fiction,1995
Choke,Stuart Woods,Fiction,1996
Dirt,Stuart Woods,Fiction,1997
Kilo Class,Patrick Robinson,Fiction,1999
Their Eyes Were Watching God,Zora Neale Hurston,Fiction,2006
A Tree Grows in Brooklyn,Betty Smith,Fiction,2006
One Hundred Years of Solitude,Gabriel Garcia Marquez,Fiction,2006
Daughter of Fortune,Isabel Allende,Fiction,2006
By the River Piedra I Sat Down and Wept,Paulo Coelho,Fiction,2006
The Alchemist,Paulo Coelho,Fiction,2006
Veronika Decides to Die,Paulo Coelho,Fiction,2006
Goodnight Moon 123,Margaret Wise Brown;Clement Hurd,Juvenile Fiction,2007
Charlotte's Web Signature Edition,E. B. White,Juvenile Fiction,2006
By Myself and Then Some,Lauren Bacall,Biography & Autobiography,2006
The Art of Loving,Erich Fromm,Self-Help,2006
Factotum tie-in,Charles Bukowski,Fiction,2006
The White Masai,Corinne Hofmann,Biography & Autobiography,2006
Mandy,Julie Andrews Edwards,Juvenile Fiction,2006
The Crusader,Paul Kengor,Political Science,2006
Spider's House,Paul Bowles,Fiction,2006
Days,Paul Bowles,Fiction,2006
Howl,Allen Ginsberg;Barry Miles,Poetry,2006
Coraline,Neil Gaiman,Fiction,2006
Points in Time,Paul Bowles,Fiction,2006
At the Edge,Cait London,Fiction,2007
Remind Me Again Why I Need A Man,Claudia Carroll,Fiction,2007
Stardust,Neil Gaiman,Fiction,2006
When the Heart Waits,Sue Monk Kidd,Religion,2006
The Gabriel Hounds,Mary Stewart,Fiction,2006
The Pact,Jodi Picoult,Fiction,2006
The Known World,Edward P. Jones,Fiction,2006
Ines of My Soul LP,Isabel Allende,Fiction,2006
Women,Charles Bukowski,Fiction,2007
Smithsonian Intimate Guide to Human Origins,Carl Zimmer,Social Science,2007
My secret,Frank Warren,Antiques & Collectibles,2006
The Secret Lives of Men and Women,Frank Warren,Self-Help,2007
To Kill a Mockingbird (slipcased edition),Harper Lee,Fiction,2006
The Complete C. S. Lewis Signature Classics,C. S. Lewis,Religion,2007
The End of Days,Zecharia Sitchin,History,2007
The Blue and Brown Books,Ludwig Wittgenstein,Philosophy,1965
The Pursuit of Happyness,Chris Gardner,Biography & Autobiography,2009
What A Lady Wants,Victoria Alexander,Fiction,2009
A Little Bit Wicked,Victoria Alexander,Fiction,2009
The Wit and Wisdom of Winston Churchill,James C. Humes,History,2009
"Sleep, Pale Sister",Joanne Harris,Fiction,2009
Midnighters #2: Touching Darkness,Scott Westerfeld,Young Adult Fiction,2009
The Queen of Attolia,Megan Whalen Turner,Young Adult Fiction,2009
The Collected Poetry of Nikki Giovanni,Nikki Giovanni,Poetry,2009
Sugarplums and Scandal,Dana Cameron;Mary Daheim;Lori Avocato;Kerrelyn Sparks;Suzanne Macpherson;Cait London,Fiction,2010
"How to Buy, Sell, and Profit on eBay",Adam Ginsberg,Business & Economics,2010
